emp_id,Department
0,sales
1,sales
2,sales
3,sales
4,sales
5,sales
6,sales
7,sales
8,sales
9,sales
10,sales
11,sales
12,sales
13,sales
14,sales
15,sales
16,sales
17,sales
18,sales
19,sales
20,sales
21,sales
22,sales
23,sales
24,sales
25,sales
26,sales
27,sales
28,accounting
29,accounting
30,accounting
31,hr
32,hr
33,hr
34,hr
35,technical
36,technical
37,technical
38,technical
39,technical
40,technical
41,technical
42,technical
43,technical
44,technical
45,technical
46,support
47,support
48,support
49,support
50,support
51,support
52,support
53,support
54,support
55,support
56,support
57,technical
58,technical
59,technical
60,management
61,IT
62,IT
63,IT
64,IT
65,IT
66,product_mng
67,product_mng
68,product_mng
69,product_mng
70,IT
71,product_mng
72,product_mng
73,product_mng
74,product_mng
75,product_mng
76,product_mng
77,marketing
78,sales
79,accounting
80,support
81,technical
82,management
83,marketing
84,marketing
85,marketing
86,sales
87,sales
88,sales
89,sales
90,sales
91,sales
92,sales
93,sales
94,sales
95,sales
96,sales
97,sales
98,sales
99,sales
100,sales
101,sales
102,sales
103,sales
104,sales
105,accounting
106,accounting
107,accounting
108,hr
109,hr
110,hr
111,hr
112,technical
113,technical
114,technical
115,technical
116,technical
117,technical
118,technical
119,technical
120,technical
121,technical
122,technical
123,support
124,support
125,support
126,support
127,support
128,support
129,support
130,support
131,support
132,support
133,support
134,technical
135,technical
136,technical
137,management
138,IT
139,IT
140,IT
141,IT
142,IT
143,product_mng
144,product_mng
145,product_mng
146,product_mng
147,IT
148,marketing
149,marketing
150,marketing
151,marketing
152,marketing
153,marketing
154,sales
155,accounting
156,support
157,technical
158,management
159,marketing
160,marketing
161,marketing
162,sales
163,sales
164,sales
165,sales
166,sales
167,sales
168,sales
169,sales
170,sales
171,sales
172,sales
173,sales
174,sales
175,sales
176,sales
177,sales
178,sales
179,sales
180,sales
181,accounting
182,accounting
183,accounting
184,hr
185,hr
186,hr
187,hr
188,technical
189,technical
190,technical
191,technical
192,technical
193,technical
194,technical
195,technical
196,technical
197,technical
198,technical
199,support
200,support
201,support
202,support
203,support
204,support
205,support
206,support
207,support
208,support
209,support
210,technical
211,technical
212,technical
213,management
214,IT
215,IT
216,IT
217,IT
218,IT
219,product_mng
220,product_mng
221,product_mng
222,product_mng
223,IT
224,accounting
225,accounting
226,hr
227,hr
228,hr
229,marketing
230,marketing
231,sales
232,accounting
233,support
234,technical
235,management
236,marketing
237,marketing
238,marketing
239,sales
240,sales
241,sales
242,sales
243,sales
244,sales
245,sales
246,sales
247,sales
248,sales
249,sales
250,sales
251,sales
252,sales
253,sales
254,sales
255,sales
256,sales
257,sales
258,accounting
259,accounting
260,accounting
261,hr
262,hr
263,hr
264,hr
265,technical
266,technical
267,technical
268,technical
269,technical
270,technical
271,technical
272,technical
273,technical
274,technical
275,technical
276,support
277,support
278,support
279,support
280,support
281,support
282,support
283,support
284,support
285,support
286,support
287,technical
288,technical
289,technical
290,management
291,IT
292,IT
293,IT
294,IT
295,IT
296,product_mng
297,product_mng
298,product_mng
299,product_mng
300,IT
301,RandD
302,RandD
303,RandD
304,RandD
305,RandD
306,marketing
307,sales
308,accounting
309,support
310,technical
311,management
312,marketing
313,marketing
314,marketing
315,sales
316,sales
317,sales
318,sales
319,sales
320,sales
321,sales
322,sales
323,sales
324,sales
325,sales
326,sales
327,sales
328,sales
329,sales
330,sales
331,sales
332,sales
333,sales
334,accounting
335,accounting
336,accounting
337,hr
338,hr
339,hr
340,hr
341,technical
342,technical
343,technical
344,technical
345,technical
346,technical
347,technical
348,technical
349,technical
350,technical
351,technical
352,support
353,support
354,support
355,support
356,support
357,support
358,support
359,support
360,support
361,support
362,support
363,technical
364,technical
365,technical
366,management
367,IT
368,IT
369,IT
370,IT
371,IT
372,product_mng
373,product_mng
374,product_mng
375,product_mng
376,IT
377,accounting
378,accounting
379,hr
380,hr
381,hr
382,marketing
383,sales
384,accounting
385,support
386,technical
387,management
388,marketing
389,marketing
390,marketing
391,sales
392,sales
393,sales
394,sales
395,sales
396,sales
397,sales
398,sales
399,sales
400,sales
401,sales
402,sales
403,sales
404,sales
405,sales
406,sales
407,sales
408,sales
409,sales
410,accounting
411,accounting
412,accounting
413,hr
414,hr
415,hr
416,hr
417,technical
418,technical
419,technical
420,technical
421,technical
422,technical
423,technical
424,technical
425,technical
426,technical
427,technical
428,support
429,support
430,support
431,support
432,support
433,support
434,support
435,support
436,support
437,support
438,support
439,technical
440,technical
441,technical
442,management
443,IT
444,IT
445,IT
446,IT
447,IT
448,product_mng
449,product_mng
450,product_mng
451,product_mng
452,IT
453,RandD
454,RandD
455,RandD
456,RandD
457,RandD
458,marketing
459,sales
460,accounting
461,support
462,technical
463,management
464,marketing
465,marketing
466,marketing
467,sales
468,sales
469,sales
470,sales
471,sales
472,sales
473,sales
474,sales
475,sales
476,sales
477,sales
478,sales
479,sales
480,sales
481,sales
482,sales
483,sales
484,sales
485,sales
486,accounting
487,accounting
488,accounting
489,hr
490,hr
491,hr
492,hr
493,technical
494,technical
495,technical
496,technical
497,technical
498,technical
499,technical
500,technical
501,technical
502,technical
503,technical
504,support
505,support
506,support
507,support
508,support
509,support
510,support
511,support
512,support
513,support
514,support
515,technical
516,technical
517,technical
518,management
519,IT
520,IT
521,IT
522,IT
523,IT
524,product_mng
525,product_mng
526,product_mng
527,product_mng
528,IT
529,accounting
530,accounting
531,hr
532,hr
533,hr
534,marketing
535,sales
536,accounting
537,support
538,technical
539,management
540,marketing
541,marketing
542,marketing
543,sales
544,sales
545,sales
546,sales
547,sales
548,sales
549,sales
550,sales
551,sales
552,sales
553,sales
554,sales
555,sales
556,sales
557,sales
558,sales
559,sales
560,sales
561,sales
562,accounting
563,accounting
564,accounting
565,hr
566,hr
567,hr
568,hr
569,technical
570,technical
571,technical
572,technical
573,technical
574,technical
575,technical
576,technical
577,technical
578,technical
579,technical
580,support
581,support
582,support
583,support
584,support
585,support
586,support
587,support
588,support
589,support
590,support
591,technical
592,technical
593,technical
594,management
595,IT
596,IT
597,IT
598,IT
599,IT
600,product_mng
601,product_mng
602,product_mng
603,product_mng
604,IT
605,RandD
606,RandD
607,RandD
608,RandD
609,RandD
610,marketing
611,sales
612,accounting
613,support
614,technical
615,management
616,marketing
617,marketing
618,marketing
619,sales
620,sales
621,sales
622,sales
623,sales
624,sales
625,sales
626,sales
627,sales
628,sales
629,sales
630,sales
631,sales
632,sales
633,sales
634,sales
635,sales
636,sales
637,sales
638,accounting
639,accounting
640,accounting
641,hr
642,hr
643,hr
644,hr
645,technical
646,technical
647,technical
648,technical
649,technical
650,technical
651,technical
652,technical
653,technical
654,technical
655,technical
656,support
657,support
658,support
659,support
660,support
661,support
662,support
663,support
664,support
665,support
666,support
667,technical
668,technical
669,technical
670,management
671,IT
672,IT
673,IT
674,IT
675,IT
676,product_mng
677,product_mng
678,product_mng
679,product_mng
680,IT
681,sales
682,sales
683,sales
684,sales
685,sales
686,marketing
687,sales
688,accounting
689,support
690,technical
691,management
692,marketing
693,marketing
694,marketing
695,sales
696,sales
697,sales
698,sales
699,sales
700,sales
701,sales
702,sales
703,sales
704,sales
705,sales
706,sales
707,sales
708,sales
709,sales
710,sales
711,sales
712,sales
713,sales
714,accounting
715,accounting
716,accounting
717,hr
718,hr
719,hr
720,hr
721,technical
722,technical
723,technical
724,technical
725,technical
726,technical
727,technical
728,technical
729,technical
730,technical
731,technical
732,support
733,support
734,support
735,support
736,support
737,support
738,support
739,support
740,support
741,support
